source,target
Donovan,The Flaming Lips
Dr. Hook,Rock music
Dropkick Murphys,Aerosmith
Dropkick Murphys,Bruce Springsteen
Dropkick Murphys,The Clash
Dropkick Murphys,Sex Pistols
Dropkick Murphys,Fall Out Boy
Dropkick Murphys,AllMusic
Drowning Pool,Rock music
Drowning Pool,Mötley Crüe
Drowning Pool,Seether
Drowning Pool,Saving Abel
Drowning Pool,Puddle of Mudd
Drowning Pool,P.O.D.
Drowning Pool,AllMusic
Drowning Pool,Metallica
Drowning Pool,Alice in Chains
Drowning Pool,Soundgarden
Drowning Pool,Black Sabbath
Drowning Pool,Slayer
Drowning Pool,Led Zeppelin
Drowning Pool,Judas Priest
Drowning Pool,Iron Maiden
Drowning Pool,The Beatles
Drowning Pool,Pantera
Drowning Pool,Sepultura
Duane Eddy,The Beatles
Duane Eddy,George Harrison
Duane Eddy,Bruce Springsteen
Duane Eddy,Chuck Berry
Duane Eddy,The Beach Boys
Duane Eddy,Elvis Presley
Duane Eddy,Bob Dylan
Duane Eddy,Paul McCartney
Duane Eddy,John Fogerty
Duran Duran,Rock music
Duran Duran,The Beatles
Duran Duran,AllMusic
Duran Duran,Pink Floyd
Duran Duran,Frank Zappa
Duran Duran,David Bowie
Duran Duran,Lou Reed
Duran Duran,Robert Plant
Duran Duran,Led Zeppelin
Duran Duran,John Lennon
Duran Duran,My Chemical Romance
Duran Duran,Snow Patrol
Duran Duran,Red Hot Chili Peppers
Duran Duran,Roxy Music
Duran Duran,The Doors
Duran Duran,Iggy Pop
Duran Duran,The Clash
Duran Duran,Sex Pistols
Duran Duran,Def Leppard
Duran Duran,Adam Ant
Duran Duran,Bee Gees
Duran Duran,The Bangles
Duran Duran,Elton John
Duran Duran,The Monkees
Duran Duran,Barenaked Ladies
Duran Duran,Beck
Duran Duran,Korn
Duran Duran,The Killers
Eagles band,Glenn Frey
Eagles band,Don Henley
Eagles band,Joe Walsh
Eagles band,Rock music
Eagles band,Linda Ronstadt
Eagles band,AllMusic
Eagles band,Jackson Browne
Eagles band,Black Sabbath
Eagles band,Deep Purple
Eagles band,Fleetwood Mac
Eagles band,Dan Fogelberg
Eagles band,Steve Winwood
Eagles band,Ringo Starr
Eagles band,Stevie Nicks
Eagles band,Bob Seger
Eagles band,The Byrds
Echo  the Bunnymen,Rock music
Echo  the Bunnymen,Duran Duran
Echo  the Bunnymen,The Rolling Stones
Echo  the Bunnymen,Talking Heads
Echo  the Bunnymen,The Doors
Echo  the Bunnymen,Peter Gabriel
Echo  the Bunnymen,The B-52s
Eddie Cochran,AllMusic
Eddie Cochran,Gene Vincent
Eddie Cochran,Paul McCartney
Eddie Cochran,John Lennon
Eddie Cochran,The Beatles
Eddie Cochran,Buddy Holly
Eddie Cochran,Fats Domino
Eddie Cochran,Chuck Berry
Eddie Cochran,The Everly Brothers
Eddie Cochran,Ritchie Valens
Eddie Cochran,The Big Bopper
Eddie Cochran,The Who
Eddie Cochran,The Rolling Stones
Eddie Cochran,Bruce Springsteen
Eddie Cochran,Van Halen
Eddie Cochran,Tom Petty
Eddie Cochran,Rod Stewart
Eddie Cochran,The Beach Boys
Eddie Cochran,Led Zeppelin
Eddie Cochran,The White Stripes
Eddie Cochran,Simple Minds
Eddie Cochran,George Thorogood
Eddie Cochran,David Bowie
Eddie Cochran,U2
Eddie Cochran,Jimi Hendrix
Eddie Cochran,Elvis Presley
Eddie Money,Rock music
Eddie Money,Jimi Hendrix
Eddie Money,David Bowie
Eddie Money,Van Morrison
Eddie Money,Kenny Loggins
Edgar Winter,Meat Loaf
Edgar Winter,Ringo Starr
Edgar Winter,Deep Purple
Edgar Winter,Alice Cooper
Electric Light Orchestra,AllMusic
Electric Light Orchestra,Rock music
Electric Light Orchestra,The Beatles
Electric Light Orchestra,Chuck Berry
Electric Light Orchestra,Led Zeppelin
Electric Light Orchestra,Black Sabbath
Electric Light Orchestra,ABBA
Electric Light Orchestra,George Harrison
Electric Light Orchestra,Rod Stewart
Electric Light Orchestra,Roy Orbison
Electric Light Orchestra,Bob Dylan
Electric Light Orchestra,Tom Petty
Electric Light Orchestra,Traveling Wilburys
Electric Light Orchestra,Ringo Starr
Electric Light Orchestra,The Flaming Lips
Elton John,AllMusic
Elton John,Jerry Lee Lewis
Elton John,Buddy Holly
Elton John,John Lennon
Elton John,The Beatles
Elton John,The Who
Elton John,Eric Clapton
Elton John,George Harrison
Elton John,Bee Gees
Elton John,Robert Plant
Elton John,Paul McCartney
Elton John,Phil Collins
Elton John,Billy Joel
Elton John,Alice in Chains
Elton John,Elvis Costello
Elton John,Queens of the Stone Age
Elton John,Rod Stewart
Elton John,Jack White
Elton John,Ozzy Osbourne
Elton John,Stevie Nicks
Elton John,Peter Gabriel
Elton John,Elvis Presley
Elton John,Little Richard
Elton John,The Beach Boys
Elton John,The Band
Elton John,The Rolling Stones
Elvis Costello,Rock music
Elvis Costello,Bob Dylan
Elvis Costello,Van Morrison
Elvis Costello,Paul McCartney
Elvis Costello,Linda Ronstadt
Elvis Costello,Roy Orbison
Elvis Costello,The Beatles
Elvis Costello,The Kinks
Elvis Costello,Small Faces
Elvis Costello,The Who
Elvis Costello,Grateful Dead
Elvis Costello,The Byrds
Elvis Costello,The Band
Elvis Costello,Neil Young
Elvis Costello,Elvis Presley
Elvis Costello,The Clash
Elvis Costello,Talking Heads
Elvis Costello,The Rolling Stones
Elvis Costello,David Bowie
Elvis Costello,Iggy Pop
Elvis Costello,ABBA
Elvis Costello,No Doubt
Elvis Costello,Beastie Boys
Elvis Costello,Bruce Springsteen
Elvis Costello,Green Day
Elvis Costello,The Police
Elvis Costello,Fall Out Boy
Elvis Costello,Chuck Berry
Elvis Costello,John Mellencamp
Elvis Costello,AllMusic
Elvis Costello,Mötley Crüe
Elvis Costello,Elton John
Elvis Costello,U2
Elvis Costello,Sex Pistols
Elvis Costello,Radiohead
Elvis Presley,Little Richard
Elvis Presley,Bo Diddley
Elvis Presley,Chuck Berry
Elvis Presley,Jerry Lee Lewis
Elvis Presley,Fats Domino
Elvis Presley,John Lennon
Elvis Presley,Bob Dylan
Emerson Lake  Palmer,AllMusic
Emerson Lake  Palmer,Jimi Hendrix
Emerson Lake  Palmer,Deep Purple
England Dan  John Ford Coley,AllMusic
England Dan  John Ford Coley,The Beatles
England Dan  John Ford Coley,Led Zeppelin
England Dan  John Ford Coley,Eddie Money
Eric Clapton,Rock music
Eric Clapton,The Yardbirds
Eric Clapton,Steve Winwood
Eric Clapton,The Rolling Stones
Eric Clapton,The Hollies
Eric Clapton,10cc
Eric Clapton,Manfred Mann
Eric Clapton,Jimi Hendrix
Eric Clapton,The Beatles
Eric Clapton,Frank Zappa
Eric Clapton,The Band
Eric Clapton,George Harrison
Eric Clapton,John Lennon
Eric Clapton,AllMusic
Eric Clapton,Ringo Starr
Eric Clapton,The Allman Brothers Band
Eric Clapton,The Who
Eric Clapton,Bob Dylan
Eric Clapton,Pink Floyd
Eric Clapton,Phil Collins
Eric Clapton,Bee Gees
Eric Clapton,Dire Straits
Eric Clapton,Elton John
Eric Clapton,Stevie Ray Vaughan
Eric Clapton,Tracy Chapman
Eric Clapton,Sheryl Crow
Eric Clapton,Paul McCartney
Eric Clapton,John Mayer
Eric Clapton,Tom Petty and the Heartbreakers
Eric Clapton,Van Morrison
Eric Clapton,Tom Petty
Eric Clapton,Rod Stewart
Eric Clapton,Buddy Holly
Eric Clapton,David Bowie
Europe band,AllMusic
Europe band,Rock music
Europe band,Def Leppard
Europe band,Bon Jovi
Europe band,Soundgarden
Europe band,Alice in Chains
Europe band,Pearl Jam
Europe band,Metallica
Europe band,Pink Floyd
Europe band,Led Zeppelin
Europe band,Thin Lizzy
Europe band,Whitesnake
Europe band,Deep Purple
Evanescence,Rock music
Evanescence,AllMusic
Evanescence,Korn
Evanescence,Stone Sour
Evanescence,Finger Eleven
Evanescence,Aerosmith
Evanescence,Velvet Revolver
Evanescence,Alice in Chains
Evanescence,Deftones
Evanescence,Foo Fighters
Evanescence,Seether
Evanescence,System of a Down
Evanescence,The Pretty Reckless
Evanescence,Halestorm
Evanescence,Fleetwood Mac
Evanescence,Depeche Mode
Evanescence,Soundgarden
Evanescence,Pantera
Evanescence,Nine Inch Nails
Evanescence,A Perfect Circle
Everclear band,Rock music
Everclear band,AllMusic
Everclear band,Sonic Youth
Everclear band,Counting Crows
Everclear band,Matchbox Twenty
Everclear band,Van Morrison
Everclear band,Godsmack
Everclear band,Gin Blossoms
Everclear band,Stone Temple Pilots
Everclear band,The Beach Boys
Everclear band,The Beatles
Everclear band,Bruce Springsteen
Everclear band,Tom Petty
Everclear band,Elvis Costello
Everclear band,Green Day
Everlast,AllMusic
Everlast,Rock music
Everlast,Ramones
Everlast,Beastie Boys
Everlast,Rage Against the Machine
Everlast,Limp Bizkit
Everlast,Bob Dylan
Everlast,Tom Petty
Everlast,The Rolling Stones
Everlast,Bruce Springsteen
Everlast,Neil Young
Everlast,Run-DMC
Extreme band,Rock music
Extreme band,Van Halen
Extreme band,Ratt
Extreme band,Red Hot Chili Peppers
Extreme band,Living Colour
Faces band,Rock music
Faces band,Small Faces
Faces band,The Rolling Stones
Faces band,The Who
Faces band,Rod Stewart
Faces band,Bad Company
Faces band,Sex Pistols
Faith No More,Rock music
Faith No More,AllMusic
Faith No More,Black Sabbath
Faith No More,Metallica
Faith No More,Limp Bizkit
Faith No More,Aerosmith
Faith No More,System of a Down
Faith No More,Korn
Faith No More,The Verve
Faith No More,Third Eye Blind
Faith No More,Ozzy Osbourne
Faith No More,The Cure
Faith No More,Robert Plant
Faith No More,Led Zeppelin
Faith No More,Stone Sour
Faith No More,Papa Roach
Faith No More,Five Finger Death Punch
Faith No More,Deftones
Faith No More,Red Hot Chili Peppers
Fall Out Boy,Rock music
Fall Out Boy,AllMusic
Fall Out Boy,Black Sabbath
Fall Out Boy,The All-American Rejects
Fall Out Boy,John Mayer
Fall Out Boy,Blink-182
Fall Out Boy,Paramore
Fall Out Boy,Green Day
Fall Out Boy,Weezer
Fall Out Boy,Bring Me the Horizon
Fall Out Boy,Billy Joel
Fall Out Boy,Sex Pistols
Fall Out Boy,Metallica
Fall Out Boy,The Kinks
Fall Out Boy,The Rolling Stones
Fall Out Boy,Ramones
Fall Out Boy,Elvis Costello
Fall Out Boy,Pantera
Fall Out Boy,David Bowie
Fall Out Boy,The Who
Fats Domino,Elvis Presley
Fats Domino,The Beatles
Fats Domino,Chuck Berry
Fats Domino,Little Richard
Fats Domino,Led Zeppelin
Fats Domino,The Monkees
Fats Domino,Elton John
Fats Domino,Neil Young
Fats Domino,Tom Petty
Fats Domino,Robert Plant
Fats Domino,Lenny Kravitz
Fats Domino,John Lennon
Fats Domino,Paul McCartney
Fats Domino,Cheap Trick
Fats Domino,AllMusic
Fats Domino,Rock music
Filter band,Rock music
Filter band,Nine Inch Nails
Filter band,Harry Nilsson
Filter band,The Smashing Pumpkins
Filter band,Korn
Filter band,Stone Temple Pilots
Filter band,ZZ Top
Filter band,Thirty Seconds to Mars
Filter band,Alice Cooper
Filter band,Rob Zombie
Filter band,AllMusic
Filter band,Pantera
Filter band,Soundgarden
Filter band,Deftones
Finger Eleven,AllMusic
Finger Eleven,Rock music
Finger Eleven,Our Lady Peace
Finger Eleven,Alice in Chains
Finger Eleven,Evanescence
Finger Eleven,Nickelback
Finger Eleven,The Tragically Hip
Finger Eleven,Seether
Finger Eleven,3 Doors Down
Finger Eleven,Kid Rock
Finger Eleven,Papa Roach
Finger Eleven,Three Days Grace
Finger Eleven,Staind
FireHouse,Pearl Jam
FireHouse,Led Zeppelin
FireHouse,Ozzy Osbourne
FireHouse,Quiet Riot
FireHouse,Ratt
Five Finger Death Punch,Korn
Five Finger Death Punch,Bad Company
Five Finger Death Punch,Rob Zombie
Five Finger Death Punch,Godsmack
Five Finger Death Punch,AllMusic
Five Finger Death Punch,Pop Evil
Five Finger Death Punch,Killswitch Engage
Five Finger Death Punch,Papa Roach
Five Finger Death Punch,The Offspring
Five Finger Death Punch,Breaking Benjamin
Five Finger Death Punch,Megadeth
Five Finger Death Punch,Pantera
Five Finger Death Punch,Iron Maiden
Five Finger Death Punch,Faith No More
Five Finger Death Punch,David Bowie
Five for Fighting,Whitesnake
Five for Fighting,Pat Benatar
Five for Fighting,Bon Jovi
Five for Fighting,AllMusic
Five for Fighting,Elton John
Five for Fighting,Billy Joel
Five for Fighting,Bruce Springsteen
Five for Fighting,Tom Petty
Five for Fighting,REO Speedwagon
Fleetwood Mac,Stevie Nicks
Fleetwood Mac,Rock music
Fleetwood Mac,Tom Petty and the Heartbreakers
Fleetwood Mac,Crowded House
Fleetwood Mac,Eric Clapton
Fleetwood Mac,Rod Stewart
Fleetwood Mac,John Mayall
Fleetwood Mac,The Beatles
Fleetwood Mac,Jimi Hendrix
Fleetwood Mac,The Rolling Stones
Fleetwood Mac,AllMusic
Fleetwood Mac,George Harrison
Fleetwood Mac,Manfred Mann Chapter Three
Fleetwood Mac,The Alan Parsons Project
Fleetwood Mac,Deep Purple
Fleetwood Mac,Robert Plant
Fleetwood Mac,REO Speedwagon
Fleetwood Mac,Pat Benatar
Fleetwood Mac,Steve Winwood
Fleetwood Mac,Sheryl Crow
Flogging Molly,Green Day
Flogging Molly,Weezer
Flogging Molly,The All-American Rejects
Flogging Molly,Dropkick Murphys
Flogging Molly,Social Distortion
Flogging Molly,The Offspring
Flogging Molly,The Clash
Florence and the Machine,Rock music
Florence and the Machine,AllMusic
Florence and the Machine,Buddy Holly
Florence and the Machine,Foo Fighters
Florence and the Machine,Duran Duran
Florence and the Machine,Fleetwood Mac
Florence and the Machine,U2
Florence and the Machine,Jefferson Airplane
Florence and the Machine,Stevie Nicks
Flyleaf band,Rock music
Flyleaf band,Breaking Benjamin
Flyleaf band,Staind
Flyleaf band,3 Doors Down
Flyleaf band,Stone Sour
Flyleaf band,Three Days Grace
Flyleaf band,Seether
Flyleaf band,P.O.D.
Flyleaf band,AllMusic
Foals band,Rock music
Foals band,Radiohead
Foals band,Nine Inch Nails
Foals band,The Smashing Pumpkins
Foals band,Arctic Monkeys
Foals band,Paramore
Foals band,AllMusic
Foals band,Talking Heads
Foals band,Arcade Fire
Foo Fighters,Rock music
Foo Fighters,Pearl Jam
Foo Fighters,Tom Petty and the Heartbreakers
Foo Fighters,Alanis Morissette
Foo Fighters,Pink Floyd
Foo Fighters,Queens of the Stone Age
Foo Fighters,Weezer
Foo Fighters,Led Zeppelin
Foo Fighters,Alice Cooper
Foo Fighters,The Beatles
Foo Fighters,Paul McCartney
Foo Fighters,Bee Gees
Foo Fighters,Nine Inch Nails
Foo Fighters,Bay City Rollers
Foo Fighters,ABBA
Foo Fighters,Tom Petty
Foreigner band,Rod Stewart
Foreigner band,Peter Frampton
Foreigner band,Van Halen
Foreigner band,Bad Company
Foreigner band,Billy Joel
Foreigner band,Phil Collins
Foreigner band,Steve Miller Band
Foreigner band,Aerosmith
Foreigner band,Led Zeppelin
Foreigner band,Def Leppard
Foreigner band,Kid Rock
Foster the People,The Beach Boys
Foster the People,Florence and the Machine
Foster the People,AllMusic
Frank Zappa,Rock music
Frank Zappa,The Mothers of Invention
Frank Zappa,AllMusic
Frank Zappa,Bob Dylan
Frank Zappa,The Beatles
Frank Zappa,The Monkees
Frank Zappa,Alice Cooper
Frank Zappa,Ringo Starr
Frank Zappa,John Lennon
Frank Zappa,Deep Purple
Frank Zappa,Grand Funk Railroad
Frank Zappa,Roxy Music
Frank Zappa,Steve Vai
Frank Zappa,Led Zeppelin
Frank Zappa,Jeff Buckley
Frank Zappa,Paul McCartney
Frank Zappa,Jimi Hendrix
Frank Zappa,Black Sabbath
Frank Zappa,Living Colour
Frank Zappa,System of a Down
Franz Ferdinand band,Rock music
Franz Ferdinand band,The Cardigans
Franz Ferdinand band,The Beatles
Franz Ferdinand band,The Rolling Stones
Franz Ferdinand band,The Who
Franz Ferdinand band,Roxy Music
Franz Ferdinand band,Sex Pistols
Franz Ferdinand band,Green Day
Franz Ferdinand band,Kaiser Chiefs
Franz Ferdinand band,The Smiths
Franz Ferdinand band,David Bowie
Fuel band,Shinedown
Fuel band,Rock music
Fuel band,Godsmack
Fuel band,Volbeat
Fuel band,Pearl Jam
Fuel band,Puddle of Mudd
Fun band,AllMusic
Fun band,Paramore
Fun band,Nickelback
Funkadelic,Parliament-Funkadelic
Funkadelic,AllMusic
Funkadelic,Jimi Hendrix
Funkadelic,Sly and the Family Stone
Garbage band,Rock music
Garbage band,U2
Garbage band,Depeche Mode
Garbage band,Nine Inch Nails
Garbage band,Alanis Morissette
Garbage band,AllMusic
Garbage band,The Velvet Underground
Garbage band,Roxy Music
Garbage band,The Pretenders
Garbage band,The Smashing Pumpkins
Garbage band,David Bowie
Gary Glitter,The Who
Gary Glitter,AllMusic
Gary Glitter,The Beatles
Gary Glitter,David Bowie
Gary Glitter,Elton John
Gary Glitter,The Sweet
Gary Glitter,Slade
Gary Glitter,Elvis Presley
Gary Glitter,Joan Jett
Gene Vincent,Elvis Presley
Gene Vincent,Little Richard
Gene Vincent,Eddie Cochran
Gene Vincent,The Beatles
Gene Vincent,Deep Purple
Gene Vincent,Gary Glitter
Gene Vincent,The Byrds
Gene Vincent,Linda Ronstadt
Gene Vincent,Duane Eddy
Gene Vincent,Ian Dury
Gene Vincent,AllMusic
Genesis band,Phil Collins
Genesis band,Mike and the Mechanics
Genesis band,Peter Gabriel
Genesis band,Rock music
Genesis band,Bee Gees
Genesis band,AllMusic
Genesis band,Frank Zappa
Genesis band,The Beatles
Genesis band,Pink Floyd
Genesis band,Eric Clapton
Genesis band,Van Halen
Genesis band,Iron Maiden
Genesis band,Simple Minds
George Harrison,Rock music
George Harrison,The Beatles
George Harrison,Traveling Wilburys
George Harrison,Chuck Berry
George Harrison,Bob Dylan
George Harrison,The Byrds
George Harrison,Badfinger
George Harrison,Eric Clapton
George Harrison,Ringo Starr
George Harrison,Tom Petty
George Harrison,Elvis Presley
George Harrison,Paul McCartney
George Harrison,John Lennon
George Harrison,The Band
George Harrison,John Fogerty
George Harrison,Electric Light Orchestra
George Harrison,Roy Orbison
George Harrison,Neil Young
George Harrison,Buddy Holly
George Harrison,Jimi Hendrix
George Harrison,Peter Gabriel
George Harrison,The Monkees
George Harrison,Harry Nilsson
George Harrison,Elton John
George Harrison,Donovan
George Harrison,Van Morrison
George Thorogood,AllMusic
George Thorogood,Bo Diddley
George Thorogood,The Rolling Stones
Ghost Swedish band,Rock music
Ghost Swedish band,ABBA
Ghost Swedish band,Iron Maiden
Ghost Swedish band,Slayer
Ghost Swedish band,Avenged Sevenfold
Ghost Swedish band,Deftones
Ghost Swedish band,Alice in Chains
Ghost Swedish band,Foo Fighters
Ghost Swedish band,Metallica
Ghost Swedish band,The Rolling Stones
Ghost Swedish band,Volbeat
Ghost Swedish band,AllMusic
Ghost Swedish band,Black Sabbath
Ghost Swedish band,Judas Priest
Ghost Swedish band,David Bowie
Ghost Swedish band,Alice Cooper
Ghost Swedish band,Pink Floyd
Gin Blossoms,AllMusic
Gin Blossoms,Elton John
Gin Blossoms,Collective Soul
Glenn Frey,Rock music
Glenn Frey,Don Henley
Glenn Frey,Jackson Browne
Glenn Frey,Linda Ronstadt
Glenn Frey,Joe Walsh
Glenn Frey,Bob Seger
Godsmack,Rock music
Godsmack,AllMusic
Godsmack,Black Sabbath
Godsmack,Limp Bizkit
Godsmack,Evanescence
Godsmack,Metallica
Godsmack,Led Zeppelin
Godsmack,Mötley Crüe
Godsmack,Staind
Godsmack,Aerosmith
Godsmack,Alice in Chains
Godsmack,Pantera
Golden Earring,Rock music
Golden Earring,AllMusic
Golden Earring,The Byrds
Golden Earring,Jimi Hendrix
Golden Earring,Led Zeppelin
Golden Earring,Eric Clapton
Golden Earring,The Doobie Brothers
Golden Earring,Aerosmith
Goo Goo Dolls,AllMusic
Goo Goo Dolls,Rock music
Goo Goo Dolls,Motörhead
Goo Goo Dolls,Supertramp
Good Charlotte,Rock music
Good Charlotte,Silverchair
Good Charlotte,Blink-182
Good Charlotte,Sum 41
Good Charlotte,Linkin Park
Good Charlotte,Social Distortion
Good Charlotte,The Clash
Good Charlotte,The Used
Good Charlotte,Tenacious D
Good Charlotte,No Doubt
Good Charlotte,Simple Plan
Good Charlotte,Avenged Sevenfold
Good Charlotte,Fall Out Boy
Good Charlotte,Boys Like Girls
Good Charlotte,The Offspring
Good Charlotte,AllMusic
Good Charlotte,The Smiths
Good Charlotte,The Cure
Good Charlotte,Beastie Boys
Good Charlotte,Sex Pistols
Good Charlotte,Green Day
Grand Funk Railroad,AllMusic
Grand Funk Railroad,The Animals
Grand Funk Railroad,The Beatles
Grand Funk Railroad,Peter Frampton
Grand Funk Railroad,Frank Zappa
Grand Funk Railroad,Bob Seger
Grateful Dead,Rock music
Grateful Dead,The Velvet Underground
Grateful Dead,Jefferson Airplane
Grateful Dead,Pink Floyd
Grateful Dead,Janis Joplin
Grateful Dead,Bob Dylan
Grateful Dead,John Mayer
Grateful Dead,The Beatles
Grateful Dead,The Beach Boys
Grateful Dead,The Rolling Stones
Grateful Dead,Blues Traveler
Grateful Dead,The Allman Brothers Band
Grateful Dead,The Band
Grateful Dead,Dave Matthews Band
Great White,AllMusic
Great White,Ozzy Osbourne
Great White,Mötley Crüe
Great White,Whitesnake
Great White,Judas Priest
Great White,Twisted Sister
Great White,Iron Maiden
Great White,Megadeth
Great White,Bon Jovi
Great White,Ratt
Great White,Alice Cooper
Great White,Quiet Riot
Green Day,Rock music
Green Day,AllMusic
Green Day,Blink-182
Green Day,Iggy Pop
Green Day,Fall Out Boy
Green Day,Weezer
Green Day,The Smashing Pumpkins
Green Day,Ramones
Green Day,Sex Pistols
Green Day,The Clash
Green Day,Social Distortion
Green Day,The Kinks
Green Day,The Who
Green Day,Cheap Trick
Green Day,U2
Green Day,Red Hot Chili Peppers
Green Day,Aerosmith
Green Day,The Offspring
Green Day,Avril Lavigne
Green Day,Bowling for Soup
Green Day,Sum 41
Green Day,Tom Petty and the Heartbreakers
Green Day,John Lennon
Green Day,The White Stripes
Greta Van Fleet,Bob Seger
Greta Van Fleet,Elton John
Greta Van Fleet,AllMusic
Greta Van Fleet,Led Zeppelin
Greta Van Fleet,Robert Plant
Greta Van Fleet,Eric Clapton
Greta Van Fleet,Joe Cocker
Greta Van Fleet,Aerosmith
Greta Van Fleet,The Doors
Guns N Roses,Velvet Revolver
Guns N Roses,Aerosmith
Guns N Roses,The Cult
Guns N Roses,Mötley Crüe
Guns N Roses,Alice Cooper
Guns N Roses,Don Henley
Guns N Roses,Iron Maiden
Guns N Roses,John Lennon
Guns N Roses,Jim Croce
Guns N Roses,Elton John
Guns N Roses,Black Sabbath
Guns N Roses,Def Leppard
Guns N Roses,Metallica
Guns N Roses,Faith No More
Guns N Roses,Motörhead
Guns N Roses,New York Dolls
Guns N Roses,Soundgarden
Guns N Roses,Nine Inch Nails
Guns N Roses,Led Zeppelin
Guns N Roses,Beck
Guns N Roses,Joe Satriani
Guns N Roses,Alter Bridge
Guns N Roses,Neil Young
Guns N Roses,Red Hot Chili Peppers
Guns N Roses,U2
Guns N Roses,Ozzy Osbourne
Guns N Roses,The Rolling Stones
Guns N Roses,Tom Petty
Guns N Roses,The Who
Guns N Roses,Cheap Trick
Guns N Roses,Van Halen
Guns N Roses,Sex Pistols
Guns N Roses,Electric Light Orchestra
Guns N Roses,Paul McCartney and Wings
Guns N Roses,Fall Out Boy
Guns N Roses,Avenged Sevenfold
Guns N Roses,Buckcherry
Guns N Roses,Hinder
Guns N Roses,Nickelback
Guns N Roses,Bullet for My Valentine
Guns N Roses,The Strokes
Guns N Roses,Sum 41
Guns N Roses,The Yardbirds
Guns N Roses,AllMusic
Halestorm,Rock music
Halestorm,Bullet for My Valentine
Halestorm,Avenged Sevenfold
Halestorm,Shinedown
Halestorm,Evanescence
Halestorm,Black Sabbath
Halestorm,Ozzy Osbourne
Halestorm,AllMusic
Hall  Oates,AllMusic
Hall  Oates,Rock music
Hall  Oates,The Everly Brothers
Hall  Oates,David Bowie
Hall  Oates,Paul McCartney
Hall  Oates,Elton John
Hall  Oates,The Doors
Harry Chapin,James Taylor
Harry Chapin,Kenny Loggins
Harry Nilsson,Rock music
Harry Nilsson,John Lennon
Harry Nilsson,The Monkees
Harry Nilsson,Ringo Starr
Harry Nilsson,Three Dog Night
Harry Nilsson,The Beatles
Harry Nilsson,Little Richard
Harry Nilsson,The Yardbirds
Harry Nilsson,Paul McCartney
Harry Nilsson,Frank Zappa
Harry Nilsson,Badfinger
Harry Nilsson,Elvis Presley
Harry Nilsson,The Who
Harry Nilsson,Stevie Nicks
Heart band,Rock music
Heart band,Rod Stewart
Heart band,Alice in Chains
Heart band,Ozzy Osbourne
Heart band,ZZ Top
Heart band,Elton John
Heart band,Cheap Trick
Heart band,Jackson Browne
Heart band,Paramore
Heart band,Def Leppard
Heart band,Led Zeppelin
Heart band,Robert Plant
Heart band,Chris Cornell
Heart band,Metallica
Heart band,Joan Jett
Heart band,Halestorm
Heart band,Neil Young
Heart band,R.E.M.
Heart band,Pearl Jam
Heart band,Soundgarden
Hermans Hermits,The Beatles
Hermans Hermits,The Animals
Hermans Hermits,The Kinks
Hermans Hermits,Morrissey
Hermans Hermits,The Monkees
Highly Suspect,Rock music
Highly Suspect,Jimi Hendrix
Highly Suspect,Pink Floyd
Highly Suspect,Deftones
Highly Suspect,Halestorm
Highly Suspect,Catfish and the Bottlemen
Highly Suspect,Stone Temple Pilots
Highly Suspect,AllMusic
Hinder,Rock music
Hinder,AllMusic
Hinder,Mötley Crüe
Hinder,Theory of a Deadman
Hinder,Nickelback
Hinder,Papa Roach
Hinder,Breaking Benjamin
Hinder,Saving Abel
Hinder,3 Doors Down
Hinder,The Allman Brothers Band
Hinder,Three Days Grace
Hinder,Collective Soul
Hinder,Foo Fighters
Hinder,Soundgarden
Hinder,The Rolling Stones
Hinder,Led Zeppelin
Hinder,Aerosmith
Hinder,Bob Seger
Hinder,Ozzy Osbourne
Hinder,Def Leppard
Hinder,Bon Jovi
Hole band,Sonic Youth
Hole band,Fleetwood Mac
Hole band,Faith No More
Hole band,Red Hot Chili Peppers
Hole band,The Smashing Pumpkins
Hole band,John Lennon
Hole band,The Velvet Underground
Hole band,Metallica
Hole band,Jeff Buckley
Hole band,The Doors
Hole band,The Beach Boys
Hole band,The Byrds
Hole band,Bob Dylan
Hole band,Neil Young
Hoobastank,Rock music
Hoobastank,Linkin Park
Hoobastank,The All-American Rejects
Hoobastank,Velvet Revolver
Hoobastank,Faith No More
Hootie  the Blowfish,Bob Dylan
Hootie  the Blowfish,Led Zeppelin
Hootie  the Blowfish,Barenaked Ladies
Hootie  the Blowfish,AllMusic
Huey Lewis and the News,Rock music
Huey Lewis and the News,Elvis Costello
Huey Lewis and the News,Thin Lizzy
Huey Lewis and the News,Van Morrison
INXS,AllMusic
INXS,Midnight Oil
INXS,Cold Chisel
INXS,The Kinks
INXS,Men at Work
INXS,Sex Pistols
INXS,Pink Floyd
INXS,The Pretenders
INXS,Elton John
INXS,Led Zeppelin
INXS,Crowded House
INXS,Red Hot Chili Peppers
INXS,The Rolling Stones
INXS,Simple Minds
INXS,Matchbox Twenty
INXS,Bee Gees
Ian Dury,Rock music
Ian Dury,The Who
Ian Dury,Pink Floyd
Ian Dury,Elvis Costello
Ian Dury,Gene Vincent
Ian Dury,Bob Dylan
Ian Dury,Steely Dan
Icehouse band,Rock music
Icehouse band,David Bowie
Icehouse band,Lou Reed
Icehouse band,AllMusic
Icehouse band,INXS
Icehouse band,Cold Chisel
Icehouse band,Simple Minds
Icehouse band,Roxy Music
Icehouse band,Talking Heads
Icehouse band,The Velvet Underground
Icehouse band,The Cure
Icehouse band,Midnight Oil
